"Member ID",Gender,Birthdate,"Percentage Complete","Review ID","Review Rating"
FFED175A-23E4-4BB0-8425-B74C2A396F40,M,1/1/1988,1,3903,5
FFD9F7B7-5A09-498E-8EF6-E6DA95CF08EC,M,1/1/1976,1,3902,5
FFA603A0-DE93-49AA-853D-EB1F8D199606,M,1/1/1971,100,3901,4
FF92C5AB-B1DC-4B6C-9DAC-F9BFE3D0BA2C,M,1/1/1968,58,3900,4
FF8EE820-8DB1-415E-BCD8-37377B779C60,M,1/1/1977,100,3895,5
FF8EE820-8DB1-415E-BCD8-37377B779C60,M,1/1/1977,1,3896,4
FF8EE820-8DB1-415E-BCD8-37377B779C60,M,1/1/1977,100,3897,5
FF8EE820-8DB1-415E-BCD8-37377B779C60,M,1/1/1977,100,3898,4
FF8EE820-8DB1-415E-BCD8-37377B779C60,M,1/1/1977,4,3899,5
FF7BBE8A-6B9F-4483-98A2-26D2D909250E,M,1/1/1971,100,3894,5
FF6C4942-F6F9-4F01-868C-99FBCAF9941A,M,1/1/1977,1,3893,4
FEE15D16-1AD0-49ED-BFB7-6E47C8937D0B,M,1/1/1972,54,3892,5
FE500A99-6CC4-461F-AE38-394A60E4897B,M,1/1/1970,100,3891,5
FE1E118D-73BB-40C9-9534-12A2F4B02097,M,1/1/1997,33,3888,4
FE1E118D-73BB-40C9-9534-12A2F4B02097,M,1/1/1997,53,3889,4
FE1E118D-73BB-40C9-9534-12A2F4B02097,M,1/1/1997,0,3890,5
FE188F45-AB68-4AD0-B814-3FCC730495B8,M,1/1/1965,0,3886,3
FE188F45-AB68-4AD0-B814-3FCC730495B8,M,1/1/1965,0,3887,5
FDCB8A79-C363-41FD-AAA6-C9154B9A4285,M,1/1/1969,100,3885,5
FDC5C906-1DF8-45C7-9AA7-115333BCD4B5,M,1/1/1991,64,3884,1
FD7BD58C-0ADA-4D17-92B0-6017DE6EE9B3,M,1/1/1965,100,3883,1
FD4BC292-A067-4431-89A0-DB9606E55129,M,1/1/1962,100,3880,4
FD1AA20C-17B8-43CF-A18A-98D8E5A72EA2,M,1/1/1989,1,3878,5
FD1AA20C-17B8-43CF-A18A-98D8E5A72EA2,M,1/1/1989,0,3879,4
FD05CA2E-B2DC-40AB-9141-D8078394A4FC,M,1/1/1973,99,3873,5
FD05CA2E-B2DC-40AB-9141-D8078394A4FC,M,1/1/1973,100,3874,5
FD05CA2E-B2DC-40AB-9141-D8078394A4FC,M,1/1/1973,100,3875,5
FD05CA2E-B2DC-40AB-9141-D8078394A4FC,M,1/1/1973,56,3876,5
FD05CA2E-B2DC-40AB-9141-D8078394A4FC,M,1/1/1973,5,3877,5
FCD10C90-BEB7-4CAE-BD99-4F202287DF71,M,1/1/1969,98,3872,5
FCC6CA88-061F-4A6D-A671-D3055058B50D,M,1/1/1965,77,3868,5
